StartOfMonth,Season,State,Average State Income,Contact Method,Age Group,Gender,Scam Category,Scam Type,Amount_lost,Number_of_reports
1/6/2024,Winter,New South Wales,1935.7,Internet,35 - 44,Male,Attempts to gain your personal information,Identity theft,$293337.32,5
1/1/2024,Summer,New South Wales,1935.7,Internet,55 - 64,Male,Attempts to gain your personal information,Identity theft,$150.73,4
1/1/2024,Summer,New South Wales,1935.7,Internet,45 - 54,Male,Attempts to gain your personal information,Identity theft,$1989.00,2
1/3/2024,Autumn,New South Wales,1935.7,Internet,55 - 64,Male,Attempts to gain your personal information,Identity theft,$430.00,2
1/5/2024,Autumn,New South Wales,1935.7,Internet,45 - 54,Male,Attempts to gain your personal information,Identity theft,$300.00,2
1/1/2024,Summer,New South Wales,1935.7,Internet,65 and over,Female,Attempts to gain your personal information,Identity theft,$137.00,2
1/1/2024,Summer,New South Wales,1935.7,Internet,35 - 44,Female,Attempts to gain your personal information,Identity theft,$450.00,3
1/3/2024,Autumn,New South Wales,1935.7,Internet,45 - 54,Female,Attempts to gain your personal information,Identity theft,$1500.00,3
1/3/2024,Autumn,Tasmania,1710.8,Email,65 and over,Female,Attempts to gain your personal information,Identity theft,$683.79,5
1/3/2024,Autumn,Australian Capital Territory,2126.5,Email,65 and over,Female,Attempts to gain your personal information,Identity theft,$2500.00,2
1/6/2024,Winter,Australian Capital Territory,2126.5,Email,65 and over,Female,Attempts to gain your personal information,Identity theft,$400.00,2
1/6/2024,Winter,Australian Capital Territory,2126.5,Email,65 and over,Male,Attempts to gain your personal information,Identity theft,$500.00,6
1/4/2024,Autumn,Western Australia,2094.3,Email,55 - 64,Male,Attempts to gain your personal information,Identity theft,$1000.00,6
1/5/2024,Autumn,Western Australia,2094.3,Email,35 - 44,Female,Attempts to gain your personal information,Identity theft,$3197.00,2
1/6/2024,Winter,Western Australia,2094.3,Email,35 - 44,Female,Attempts to gain your personal information,Identity theft,$1587.99,3
1/2/2024,Summer,Queensland,1901,Email,25 - 34,Male,Attempts to gain your personal information,Identity theft,$1400.00,4
1/2/2024,Summer,Queensland,1901,Email,25 - 34,Female,Attempts to gain your personal information,Identity theft,$180.62,2
1/6/2024,Winter,Queensland,1901,Email,25 - 34,Female,Attempts to gain your personal information,Identity theft,$1000.00,2
1/2/2024,Summer,Victoria,1882,Email,18 - 24,Male,Attempts to gain your personal information,Identity theft,$2867.77,2
1/4/2024,Autumn,New South Wales,1935.7,Email,18 - 24,Female,Attempts to gain your personal information,Identity theft,$1500.00,2
1/6/2024,Winter,New South Wales,1935.7,Email,18 - 24,Female,Attempts to gain your personal information,Identity theft,$1000.00,2
1/1/2024,Summer,Queensland,1901,Text message,18 - 24,Female,Attempts to gain your personal information,Identity theft,$499.45,3
1/3/2024,Autumn,Queensland,1901,Text message,18 - 24,Male,Attempts to gain your personal information,Identity theft,$633.00,2
1/1/2024,Summer,Western Australia,2094.3,Text message,25 - 34,Male,Attempts to gain your personal information,Identity theft,$3092.00,3
1/3/2024,Autumn,South Australia,1776.9,Text message,55 - 64,Female,Attempts to gain your personal information,Identity theft,$700.00,2
1/3/2024,Autumn,Tasmania,1710.8,Text message,65 and over,Female,Attempts to gain your personal information,Identity theft,$964.85,2
1/6/2024,Winter,Tasmania,1710.8,Text message,65 and over,Female,Attempts to gain your personal information,Identity theft,$23750.00,6
1/4/2024,Autumn,New South Wales,1935.7,Text message,18 - 24,Male,Attempts to gain your personal information,Identity theft,$2015.00,3
1/6/2024,Winter,Victoria,1882,Email,18 - 24,Female,Attempts to gain your personal information,Hacking,$690.00,3
1/3/2024,Autumn,Victoria,1882,Email,25 - 34,Male,Attempts to gain your personal information,Hacking,$100.00,2
1/5/2024,Autumn,Victoria,1882,Email,25 - 34,Male,Attempts to gain your personal information,Hacking,$620.89,5
1/4/2024,Autumn,Victoria,1882,Internet,65 and over,Female,Attempts to gain your personal information,Hacking,$624.90,3
1/3/2024,Autumn,Victoria,1882,Internet,65 and over,Male,Attempts to gain your personal information,Hacking,$400.00,2
1/1/2024,Summer,Victoria,1882,Social media/Online forums,45 - 54,Female,Attempts to gain your personal information,Hacking,$900.00,3
1/6/2024,Winter,Victoria,1882,Social media/Online forums,18 - 24,Male,Attempts to gain your personal information,Hacking,$18.93,2
1/5/2024,Autumn,Victoria,1882,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Hacking,$996.40,2
1/5/2024,Autumn,Queensland,1901,Mail,65 and over,Female,Attempts to gain your personal information,Hacking,$79.60,2
1/5/2024,Autumn,Queensland,1901,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Hacking,$391.54,4
1/6/2024,Winter,Queensland,1901,Mobile apps,35 - 44,Female,Attempts to gain your personal information,Hacking,$606.48,2
1/2/2024,Summer,Queensland,1901,Internet,65 and over,Male,Attempts to gain your personal information,Hacking,$102.99,3
1/5/2024,Autumn,Queensland,1901,Internet,35 - 44,Male,Attempts to gain your personal information,Hacking,$738.25,2
1/6/2024,Winter,Queensland,1901,Email,35 - 44,Male,Attempts to gain your personal information,Hacking,$33.17,3
1/6/2024,Winter,Western Australia,2094.3,Email,45 - 54,Female,Attempts to gain your personal information,Hacking,$200.00,3
1/3/2024,Autumn,Western Australia,2094.3,Email,35 - 44,Female,Attempts to gain your personal information,Hacking,$161.00,2
1/4/2024,Autumn,Western Australia,2094.3,Text message,35 - 44,Male,Attempts to gain your personal information,Hacking,$850.00,2
1/2/2024,Summer,Western Australia,2094.3,Internet,65 and over,Female,Attempts to gain your personal information,Hacking,$600.00,2
1/3/2024,Autumn,Western Australia,2094.3,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Hacking,$249.00,2
1/3/2024,Autumn,Western Australia,2094.3,Social media/Online forums,65 and over,Male,Attempts to gain your personal information,Hacking,$500.00,2
1/6/2024,Winter,New South Wales,1935.7,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Hacking,$600.00,2
1/6/2024,Winter,New South Wales,1935.7,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Hacking,$20.00,2
1/5/2024,Autumn,New South Wales,1935.7,Internet,65 and over,Male,Attempts to gain your personal information,Hacking,$950.00,3
1/1/2024,Summer,New South Wales,1935.7,Internet,45 - 54,Male,Attempts to gain your personal information,Hacking,$749.00,2
1/3/2024,Autumn,New South Wales,1935.7,Internet,65 and over,Female,Attempts to gain your personal information,Hacking,$300.00,4
1/6/2024,Winter,New South Wales,1935.7,Internet,65 and over,Female,Attempts to gain your personal information,Hacking,$292.75,3
1/4/2024,Autumn,Queensland,1901,Text message,35 - 44,Female,Attempts to gain your personal information,Remote access,$700.00,3
1/2/2024,Summer,Tasmania,1710.8,Email,45 - 54,Female,Attempts to gain your personal information,Remote access,$13000.00,2
1/4/2024,Autumn,Australian Capital Territory,2126.5,Email,65 and over,Male,Attempts to gain your personal information,Remote access,$2031.97,2
1/4/2024,Autumn,Western Australia,2094.3,Email,55 - 64,Female,Attempts to gain your personal information,Remote access,$28355.00,4
1/6/2024,Winter,South Australia,1776.9,Email,65 and over,Female,Attempts to gain your personal information,Remote access,$5000.00,2
1/2/2024,Summer,Victoria,1882,Email,45 - 54,Female,Attempts to gain your personal information,Remote access,$300.00,4
1/2/2024,Summer,Victoria,1882,Email,35 - 44,Female,Attempts to gain your personal information,Remote access,$735.00,2
1/6/2024,Winter,Victoria,1882,Email,35 - 44,Female,Attempts to gain your personal information,Remote access,$1850.00,2
1/2/2024,Summer,Victoria,1882,Email,55 - 64,Female,Attempts to gain your personal information,Remote access,$9500.00,3
1/1/2024,Summer,New South Wales,1935.7,Email,55 - 64,Female,Attempts to gain your personal information,Remote access,$1008.00,2
1/4/2024,Autumn,New South Wales,1935.7,Email,55 - 64,Female,Attempts to gain your personal information,Remote access,$1400.00,2
1/4/2024,Autumn,New South Wales,1935.7,Email,45 - 54,Female,Attempts to gain your personal information,Remote access,$5261.14,3
1/3/2024,Autumn,New South Wales,1935.7,Internet,65 and over,Female,Attempts to gain your personal information,Remote access,$30860.00,6
1/4/2024,Autumn,New South Wales,1935.7,Internet,65 and over,Female,Attempts to gain your personal information,Remote access,$78500.00,2
1/5/2024,Autumn,New South Wales,1935.7,Internet,65 and over,Female,Attempts to gain your personal information,Remote access,$20046.00,6
1/6/2024,Winter,New South Wales,1935.7,Internet,65 and over,Female,Attempts to gain your personal information,Remote access,$9800.00,5
1/4/2024,Autumn,New South Wales,1935.7,Internet,55 - 64,Male,Attempts to gain your personal information,Remote access,$25876.86,2
1/1/2024,Summer,Victoria,1882,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$15000.00,2
1/2/2024,Summer,Victoria,1882,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$90000.00,3
1/4/2024,Autumn,Victoria,1882,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$6400.00,2
1/6/2024,Winter,Victoria,1882,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$197000.00,5
1/3/2024,Autumn,Queensland,1901,Internet,65 and over,Female,Attempts to gain your personal information,Remote access,$35400.10,3
1/6/2024,Winter,Queensland,1901,Internet,65 and over,Female,Attempts to gain your personal information,Remote access,$20797.00,3
1/1/2024,Summer,Queensland,1901,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$25000.00,2
1/2/2024,Summer,Queensland,1901,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$31200.00,2
1/3/2024,Autumn,Queensland,1901,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$155249.99,6
1/4/2024,Autumn,Queensland,1901,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$23652.31,5
1/6/2024,Winter,Queensland,1901,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$99994.00,6
1/4/2024,Autumn,South Australia,1776.9,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$46.00,2
1/5/2024,Autumn,South Australia,1776.9,Internet,65 and over,Female,Attempts to gain your personal information,Remote access,$69400.00,3
1/1/2024,Summer,Western Australia,2094.3,Internet,65 and over,Female,Attempts to gain your personal information,Remote access,$3500.00,2
1/2/2024,Summer,Western Australia,2094.3,Internet,65 and over,Male,Attempts to gain your personal information,Remote access,$6000.00,3
1/4/2024,Autumn,Tasmania,1710.8,Phone call,55 - 64,Male,Attempts to gain your personal information,Remote access,$900.00,2
1/4/2024,Autumn,Australian Capital Territory,2126.5,Phone call,35 - 44,Female,Attempts to gain your personal information,Remote access,$6000.00,3
1/2/2024,Summer,Australian Capital Territory,2126.5,Phone call,55 - 64,Female,Attempts to gain your personal information,Remote access,$1800.00,2
1/5/2024,Autumn,Australian Capital Territory,2126.5,Phone call,65 and over,Female,Attempts to gain your personal information,Remote access,$7449.00,3
1/1/2024,Summer,Australian Capital Territory,2126.5,Phone call,65 and over,Male,Attempts to gain your personal information,Remote access,$5500.00,3
1/5/2024,Autumn,Australian Capital Territory,2126.5,Phone call,65 and over,Male,Attempts to gain your personal information,Remote access,$81000.00,3
1/3/2024,Autumn,Western Australia,2094.3,Phone call,25 - 34,Female,Attempts to gain your personal information,Remote access,$1600.00,2
1/5/2024,Autumn,Queensland,1901,Phone call,18 - 24,Male,Attempts to gain your personal information,Remote access,$4453.99,2
1/5/2024,Autumn,New South Wales,1935.7,Phone call,25 - 34,Male,Buying or selling,Overpayment,$700.00,2
1/3/2024,Autumn,New South Wales,1935.7,Email,45 - 54,Female,Buying or selling,Overpayment,$434.02,3
1/5/2024,Autumn,New South Wales,1935.7,Email,55 - 64,Male,Buying or selling,Overpayment,$652.05,4
1/4/2024,Autumn,New South Wales,1935.7,Social media/Online forums,25 - 34,Male,Buying or selling,Overpayment,$142.64,2
1/2/2024,Summer,Victoria,1882,Social media/Online forums,55 - 64,Female,Buying or selling,Overpayment,$500.00,2
1/2/2024,Summer,Victoria,1882,Phone call,45 - 54,Male,Buying or selling,Overpayment,$100.00,2
1/2/2024,Summer,Queensland,1901,Email,65 and over,Female,Buying or selling,Overpayment,$25.00,2
1/3/2024,Autumn,South Australia,1776.9,Email,45 - 54,Female,Buying or selling,Health and medical products,$1000.00,2
1/1/2024,Summer,South Australia,1776.9,Text message,55 - 64,Male,Buying or selling,Health and medical products,$3544.00,2
1/5/2024,Autumn,New South Wales,1935.7,Phone call,65 and over,Male,Buying or selling,Health and medical products,$155.00,2
1/4/2024,Autumn,Queensland,1901,Internet,65 and over,Male,Buying or selling,Health and medical products,$200.00,2
1/4/2024,Autumn,Queensland,1901,Internet,45 - 54,Female,Buying or selling,Health and medical products,$350.00,2
1/5/2024,Autumn,New South Wales,1935.7,Internet,65 and over,Female,Buying or selling,Health and medical products,$464.59,3
1/4/2024,Autumn,New South Wales,1935.7,Social media/Online forums,65 and over,Male,Buying or selling,Health and medical products,$272.00,3
1/4/2024,Autumn,Queensland,1901,Social media/Online forums,55 - 64,Male,Buying or selling,Health and medical products,$250.00,11
1/3/2024,Autumn,Northern Territory,1845.8,Social media/Online forums,45 - 54,Female,Buying or selling,Classified,$50.00,2
1/4/2024,Autumn,Northern Territory,1845.8,Social media/Online forums,55 - 64,Female,Buying or selling,Classified,$560.00,2
1/5/2024,Autumn,Northern Territory,1845.8,Social media/Online forums,35 - 44,Male,Buying or selling,Classified,$350.00,2
1/2/2024,Summer,Tasmania,1710.8,Social media/Online forums,55 - 64,Male,Buying or selling,Classified,$100.00,4
1/2/2024,Summer,Tasmania,1710.8,Social media/Online forums,45 - 54,Female,Buying or selling,Classified,$3900.00,2
1/4/2024,Autumn,Tasmania,1710.8,Social media/Online forums,45 - 54,Female,Buying or selling,Classified,$200.00,2
1/5/2024,Autumn,Tasmania,1710.8,Social media/Online forums,55 - 64,Male,Buying or selling,Classified,$100.00,2
1/5/2024,Autumn,Tasmania,1710.8,Social media/Online forums,35 - 44,Male,Buying or selling,Classified,$400.00,2
1/5/2024,Autumn,Tasmania,1710.8,Social media/Online forums,45 - 54,Female,Buying or selling,Classified,$1450.00,3
1/5/2024,Autumn,Tasmania,1710.8,Social media/Online forums,55 - 64,Female,Buying or selling,Classified,$1550.00,2
1/2/2024,Summer,Australian Capital Territory,2126.5,Mobile apps,35 - 44,Male,Buying or selling,Classified,$1600.00,2
1/3/2024,Autumn,Australian Capital Territory,2126.5,Social media/Online forums,18 - 24,Male,Buying or selling,Classified,$1266.50,3
1/5/2024,Autumn,Australian Capital Territory,2126.5,Social media/Online forums,55 - 64,Male,Buying or selling,Classified,$600.00,2
1/6/2024,Winter,Australian Capital Territory,2126.5,Social media/Online forums,35 - 44,Male,Buying or selling,Classified,$915.00,2
1/2/2024,Summer,Australian Capital Territory,2126.5,Social media/Online forums,45 - 54,Female,Buying or selling,Classified,$20.00,2
1/5/2024,Autumn,Australian Capital Territory,2126.5,Social media/Online forums,35 - 44,Female,Buying or selling,Classified,$50.00,2
1/6/2024,Winter,Australian Capital Territory,2126.5,Social media/Online forums,55 - 64,Female,Buying or selling,Classified,$400.00,3
1/6/2024,Winter,Australian Capital Territory,2126.5,Social media/Online forums,45 - 54,Female,Buying or selling,Classified,$50.00,2
1/5/2024,Autumn,South Australia,1776.9,Phone call,35 - 44,Female,Buying or selling,Classified,$15000.00,2
1/4/2024,Autumn,South Australia,1776.9,Mobile apps,45 - 54,Male,Buying or selling,Classified,$8850.00,2
1/1/2024,Summer,South Australia,1776.9,Social media/Online forums,55 - 64,Female,Buying or selling,Classified,$200.00,2
1/2/2024,Summer,South Australia,1776.9,Social media/Online forums,35 - 44,Female,Buying or selling,Classified,$330.00,2
1/2/2024,Summer,South Australia,1776.9,Social media/Online forums,55 - 64,Female,Buying or selling,Classified,$1000.00,2
1/3/2024,Autumn,South Australia,1776.9,Social media/Online forums,55 - 64,Female,Buying or selling,Classified,$4650.00,2
1/3/2024,Autumn,South Australia,1776.9,Social media/Online forums,18 - 24,Female,Buying or selling,Classified,$1450.00,2
1/3/2024,Autumn,South Australia,1776.9,Social media/Online forums,65 and over,Female,Buying or selling,Classified,$170.00,2
1/4/2024,Autumn,South Australia,1776.9,Social media/Online forums,25 - 34,Female,Buying or selling,Classified,$150.00,3
1/4/2024,Autumn,South Australia,1776.9,Social media/Online forums,65 and over,Female,Buying or selling,Classified,$75.00,2
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,45 - 54,Female,Buying or selling,Classified,$480.00,3
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,35 - 44,Female,Buying or selling,Classified,$100.00,5
1/6/2024,Winter,South Australia,1776.9,Social media/Online forums,45 - 54,Female,Buying or selling,Classified,$4350.00,3
1/1/2024,Summer,South Australia,1776.9,Social media/Online forums,25 - 34,Male,Buying or selling,Classified,$1000.00,5
1/2/2024,Summer,South Australia,1776.9,Social media/Online forums,35 - 44,Male,Buying or selling,Classified,$5600.00,7
1/3/2024,Autumn,South Australia,1776.9,Social media/Online forums,45 - 54,Male,Buying or selling,Classified,$1300.00,3
1/3/2024,Autumn,South Australia,1776.9,Social media/Online forums,65 and over,Male,Buying or selling,Classified,$50.00,2
1/3/2024,Autumn,South Australia,1776.9,Social media/Online forums,55 - 64,Male,Buying or selling,Classified,$3150.00,2
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,25 - 34,Male,Buying or selling,Classified,$65.00,2
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,55 - 64,Male,Buying or selling,Classified,$465.00,2
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,45 - 54,Male,Buying or selling,Classified,$700.00,2
1/6/2024,Winter,South Australia,1776.9,Social media/Online forums,65 and over,Male,Buying or selling,Classified,$600.00,4
1/6/2024,Winter,Western Australia,2094.3,Internet,45 - 54,Male,Buying or selling,Classified,$1798.87,3
1/6/2024,Winter,Western Australia,2094.3,Phone call,45 - 54,Female,Buying or selling,Classified,$7500.00,3
1/1/2024,Summer,Western Australia,2094.3,Mobile apps,45 - 54,Male,Buying or selling,Classified,$1680.00,4
1/2/2024,Summer,Western Australia,2094.3,Mobile apps,45 - 54,Male,Buying or selling,Classified,$650.00,2
1/1/2024,Summer,Western Australia,2094.3,Social media/Online forums,45 - 54,Male,Buying or selling,Classified,$5610.00,3
